lead_id,email,phone,source,status,created_at,city,score,notes
5000,qiarft@empresa.co,3711505280,facebook,WON,2025/12/15,Barranquilla,22.0,
5001,vqdnlv@mail.com,3835456547,FACEBOOK,lost,2025/09/02,Bogotá,33.0,
5002,eybqgf@mail.com,3995610627,web,new,2025-06-17,Bogotá,92.0,
5003,voqkrugmail.com,3724949433,Referral,WON,2025/08/07,bogota,36.0,
5004,mrwjnl@gmail.com,3120166143,google ads ,NEW ,32/13/2025,Barranquilla,56.0,
5005,czxqqk@example.com,33164681,Google Ads,NEW ,2025/12/03,Barranquilla,46.0,
5006,hoakhe@empresa.co,3713481639,google ads ,WON,2025/09/04,bogota,71.0,
5007,xhzqul@gmail.com,3507116487,FACEBOOK,NEW ,2025/09/19,Cartagena,45.0,
5008,zehvtz@empresa.co,30047125,facebook,lost,2025/11/03,Barranquilla,96.0,
5009,zizgkb@gmail.com,3221928085,web,contacted,02/12/2025,bogota,26.0,
5010,aybjcy@empresa.co,3657026580,FACEBOOK,Contacted,26/10/2025,bogota,42.0,
5011,bcqgwl@example.com,32629773,FACEBOOK,Contacted,2025/08/20, medellin ,67.0,
5012,rkwnju@gmail.com,3709640259,web,new,25/07/2025, medellin ,95.0,
5013,erilsl@gmail.com,3638240815,Google Ads,lost,2025-06-28,Cartagena,20.0,
5014,ztpbkm@gmail.com,3344066491,facebook,new,32/13/2025,Bogotá,61.0,
5015,azqwil@mail.com,3962334230,FACEBOOK,WON,27/07/2025, medellin ,42.0,
5016,gxxhnz@empresa.co,3619890468,web,Contacted,2025-07-19,Cali,19.0,
5017,eahbog@gmail.com,3634907754,Referral,WON,16/12/2025,Cartagena,28.0,
5018,vgumee@empresa.co,3427146300,web,Contacted,2025/09/11,Barranquilla,15.0,
5019,,3984601105,Referral,Contacted,2025-08-02,Medellín,93.0,
5020,cubxsl@example.com,3490512099,Referral,contacted,2025-06-01,Medellín,,
5021,wcnhma@mail.com,3551158275,FACEBOOK,lost,2025-07-23,Cali,65.0,
5022,gwrift@mail.com,3482629892,facebook,WON,2025-10-21,Bogotá,66.0,
5023,baxcayexample.com,3110629467,Referral,contacted,18/06/2025,Bogotá,64.0,
5024,mahwnq@mail.com,3162743485,Google Ads,contacted,2025/07/20,Barranquilla,49.0,
5025,xzcjtv@example.com,3318399117,Google Ads,contacted,12/09/2025,Cartagena,34.0,
5026,watjja@empresa.co,3165487757,Google Ads,Contacted,2025-11-13,Medellín,97.0,
5027,gdudrs@example.com,3172943936,Google Ads,new,2025-12-02,Barranquilla,109.0,
5028,kdoxcw@mail.com,3536200412,FACEBOOK,new,29/08/2025,Medellín,32.0,
5029,zveabp@example.com,3231280539,web,NEW ,08/07/2025,Barranquilla,43.0,
5030,nstogt@empresa.co,3983417074,google ads ,new,2025/06/08,Cali,57.0,
5031,ycuxrk@example.com,3682581597,Google Ads,contacted,2025-10-15, medellin ,94.0,
